SRA_number,read_number,#_contigs(>=0bp),#_contigs(>=1000bp),#_contigs(>=5000bp),#_contigs(>=10000bp),#_contigs(>=25000bp),#_contigs(>=50000bp),Total_length(>=0bp),Total_length(>=1000bp),Total_length(>=5000bp),Total_length(>=10000bp),Total_length(>=25000bp),Total_length(>=50000bp),#_contigs,Largestcontig,Totallength,GC(%),N50,N75,L50,L75
SRR3989784,4750000,422,172,111,87,58,30,4914870,4849472,4714719,4532034,4031763,3015069,208,210016,4873871,50.61,74014,36005,21,46
SRR3989784,5000000,414,172,110,86,57,30,4915056,4850783,4714584,4531899,4031854,3052668,207,210016,4874674,50.61,86770,36005,20,45
SRR3989784,5250000,424,173,110,86,57,30,4915212,4851581,4712135,4529450,4029405,3049699,207,210016,4874580,50.61,86770,36005,20,45
SRR3989784,5500000,426,171,109,86,57,30,4915465,4850185,4712516,4535170,4035125,3055419,207,210016,4874234,50.61,86770,36005,20,45
SRR3989784,5750000,418,170,108,86,57,30,4915230,4849648,4711702,4542951,4042416,3055417,207,210016,4874578,50.61,86770,36090,20,45
SRR3989784,6000000,403,168,109,87,58,30,4914818,4850318,4718361,4549610,4058528,3046493,206,210016,4875781,50.61,86770,36090,20,45
SRR3989784,6250000,417,169,108,86,57,30,4915179,4850168,4713681,4544871,4044400,3057560,206,210016,4875086,50.61,86770,36090,20,45
SRR3989784,6500000,411,168,108,86,57,30,4914900,4850451,4716914,4548163,4044030,3057400,205,210016,4875369,50.61,86770,36090,20,45
SRR3989784,6750000,418,168,107,85,57,30,4915299,4849988,4714789,4545979,4064598,3077601,205,210016,4874906,50.61,86770,36395,20,44
SRR3989784,7000000,419,169,106,86,57,30,4915495,4851730,4711880,4559705,4061601,3074604,204,210016,4875276,50.61,86770,36395,20,44
SRR3989784,7250000,420,169,106,86,57,30,4915694,4851733,4711888,4559772,4061611,3074612,204,210016,4875255,50.61,86770,36395,20,44
SRR3989784,7500000,412,168,105,86,58,30,4915279,4851999,4712150,4568648,4087210,3074724,203,210016,4875517,50.61,86770,36395,20,44
SRR3989784,7750000,409,168,105,86,58,30,4914967,4851638,4711789,4568287,4086835,3074248,204,210016,4876007,50.61,86770,36395,20,44
SRR3989784,8000000,411,169,106,87,58,30,4915253,4852463,4710604,4569043,4064856,3052266,204,210016,4875946,50.61,86770,36090,20,45
SRR3989784,8250000,402,169,106,87,58,30,4914744,4852581,4710717,4569215,4064969,3052379,204,210016,4876060,50.61,86770,36090,20,45
SRR3989784,8301821,402,169,106,87,58,30,4914744,4852581,4710717,4569215,4064969,3052379,204,210016,4876060,50.61,86770,36090,20,45
SRR3989785,250000,2018,1150,222,42,0,0,4490480,4081527,1759410,537249,0,0,1462,19294,4311352,51.66,4286,2469,308,633
SRR3989785,500000,666,444,258,158,43,6,4717796,4617173,4158193,3418328,1622834,369115,527,77802,4673903,51.15,17290,9151,78,168
SRR3989785,750000,726,349,209,146,62,15,4802193,4680553,4356064,3888083,2579031,952252,432,81267,4738820,50.99,26444,12853,54,118
SRR3989785,1000000,579,282,171,125,63,22,4818357,4722075,4474832,4133432,3131003,1687306,342,128703,4763678,50.89,37762,18530,39,84
SRR3989785,1250000,537,258,156,119,61,25,4832618,4741100,4516521,4238914,3304515,2041603,317,168958,4782605,50.83,39961,19852,33,74
SRR3989785,1500000,509,236,146,113,62,26,4839230,4755255,4554031,4315356,3463267,2167778,286,171056,4789751,50.8,47265,23055,31,68
SRR3989785,1750000,488,228,140,109,62,27,4843825,4763539,4564643,4338428,3554966,2341915,280,171066,4798611,50.77,48695,24527,29,64
SRR3989785,2000000,483,217,129,102,67,29,4848062,4769097,4570591,4369480,3775749,2434689,267,171068,4802430,50.75,52308,29336,29,61
SRR3989785,2250000,469,210,125,101,66,30,4851066,4773852,4579198,4404994,3794693,2516250,261,171068,4807709,50.73,58998,29659,28,60
SRR3989785,2500000,447,200,117,96,63,31,4852787,4777757,4588624,4435818,3862031,2729347,252,171084,4811560,50.71,63178,30247,26,55
SRR3989785,2750000,445,195,115,94,61,32,4855142,4784427,4603249,4447213,3869586,2835996,240,209912,4813307,50.71,65712,33403,25,52
SRR3989785,3000000,443,196,116,96,63,32,4857072,4788987,4609716,4466150,3907037,2811225,237,209912,4815697,50.7,63904,33403,25,53
SRR3989785,3250000,435,191,116,96,62,31,4858140,4791234,4618275,4475537,3885815,2771226,231,209912,4817191,50.69,62595,31163,25,53
SRR3989785,3500000,434,190,117,95,63,31,4858607,4792805,4624251,4471454,3920491,2776572,230,209912,4819132,50.68,62997,31163,25,53
SRR3989785,3750000,420,186,114,94,64,29,4858254,4793472,4627741,4487758,3959731,2730215,226,209912,4819352,50.68,62997,31163,24,52
SRR3989785,4000000,420,182,110,91,62,29,4859327,4794375,4626542,4493528,4000708,2830494,220,209912,4819529,50.68,65711,34051,22,49
SRR3989785,4250000,419,186,113,94,61,29,4859461,4795426,4625114,4487065,3910952,2789368,225,209912,4820667,50.68,62997,31146,23,51
SRR3989785,4500000,420,185,113,91,62,30,4860270,4796415,4629895,4471274,3976709,2838512,221,209912,4820889,50.67,62997,34007,23,50
SRR3989785,4750000,416,179,108,92,61,30,4860822,4799183,4635625,4516311,3987863,2872293,214,209912,4822249,50.67,63904,35147,22,49
SRR3989785,5000000,416,175,105,90,62,30,4861156,4797629,4637523,4523796,4034041,2867341,212,209912,4822252,50.67,63904,35926,22,49
SRR3989785,5250000,423,176,106,91,61,30,4862033,4797728,4637761,4524034,3996412,2867362,213,209912,4822388,50.67,63904,35691,22,49
SRR3989785,5500000,426,176,108,92,62,30,4862234,4797291,4645786,4523479,3986815,2823111,214,209912,4822764,50.67,63003,35147,23,50
SRR3989785,5750000,427,173,107,91,62,30,4862688,4796724,4649327,4526467,4006388,2842682,211,209912,4821890,50.67,63904,35149,23,50
SRR3989785,6000000,424,173,109,91,62,30,4862310,4796065,4656789,4517399,4006370,2842664,212,209912,4821865,50.67,63904,35149,23,50
SRR3989785,6250000,424,171,107,91,63,30,4863077,4796685,4656777,4531244,4037131,2847940,210,209912,4822805,50.67,65565,35691,23,49
SRR3989785,6500000,416,169,107,92,63,30,4862593,4798466,4663815,4544822,4037668,2847853,207,209912,4823593,50.67,65563,35691,23,49
SRR3989785,6750000,406,168,105,91,60,29,4862162,4800080,4664146,4556130,4024782,2905547,204,209912,4823677,50.67,66934,35691,21,47
SRR3989785,7000000,410,167,107,92,60,29,4862153,4798340,4668511,4555582,4000154,2881394,205,209912,4823333,50.67,66934,35149,21,48
SRR3989785,7250000,407,167,106,91,60,29,4861451,4797946,4665119,4552131,4000317,2881082,204,209912,4822076,50.67,66934,35149,21,48
SRR3989785,7500000,404,166,106,91,60,29,4861027,4796498,4664928,4551437,3999590,2880829,205,209912,4822246,50.67,66934,35149,21,48
SRR3989785,7750000,412,169,105,91,60,29,4861608,4796209,4657113,4548589,3999345,2881101,208,209920,4822417,50.67,66935,35149,21,48
SRR3989785,8000000,404,167,103,89,60,29,4860575,4794066,4651898,4543374,4036855,2923905,208,209920,4822290,50.67,69593,36006,21,46
SRR3989785,8250000,405,167,103,89,60,29,4860749,4794673,4652327,4543803,4042360,2928890,207,209920,4821904,50.67,66935,36006,21,46
SRR3989785,8500000,407,166,102,88,60,29,4861277,4795142,4652879,4544355,4061994,2948526,206,209920,4822393,50.67,69593,36006,21,46
SRR3989785,8743077,407,166,102,88,60,29,4861257,4795142,4652879,4544296,4061994,2948526,206,209920,4822373,50.67,69593,36006,21,46
SRR3989786,250000,1698,1034,297,54,0,0,4504851,4199995,2338101,712903,0,0,1266,20908,4367534,51.54,5300,2965,267,540
SRR3989786,500000,446,311,227,157,59,8,4688663,4634835,4403881,3864224,2307949,519685,347,96318,4659631,51.12,24918,12487,60,124
SRR3989786,750000,347,209,154,121,71,25,4735393,4683539,4565754,4311546,3508284,1863110,244,123695,4709643,50.95,43045,24177,36,72
SRR3989786,1000000,297,173,129,107,66,28,4751482,4708990,4614026,4445567,3755618,2348230,203,197751,4731232,50.87,49057,29692,29,59
SRR3989786,1250000,267,144,107,91,58,31,4763331,4724237,4648206,4526947,3972110,3012499,169,199039,4743240,50.82,75557,35093,21,45
SRR3989786,1500000,233,128,98,83,58,35,4770572,4741262,4672268,4564251,4142228,3335578,146,198086,4753971,50.79,80668,41489,20,41
SRR3989786,1750000,206,114,82,71,52,30,4772650,4748023,4676788,4598609,4279438,3493439,127,293394,4757449,50.78,104554,47408,16,32
SRR3989786,2000000,196,99,73,63,54,33,4775508,4750535,4697363,4626313,4478622,3730934,113,293394,4760964,50.76,104575,56962,16,31
SRR3989786,2250000,192,94,70,60,52,33,4777721,4753078,4703298,4629550,4494994,3838548,108,293394,4763479,50.75,109107,67715,15,29
SRR3989786,2500000,183,87,66,57,47,32,4778866,4754612,4712369,4648675,4483129,3950928,102,293228,4765174,50.74,113724,76575,14,26
SRR3989786,2750000,177,86,65,57,49,33,4778760,4756898,4717717,4662195,4521987,3934310,98,293228,4765473,50.74,105397,71508,15,28
SRR3989786,3000000,182,81,62,55,48,33,4780303,4757792,4723509,4677363,4555038,4016983,92,292916,4766023,50.74,109107,76426,14,27
SRR3989786,3250000,176,75,59,53,45,29,4781204,4758151,4728442,4689922,4543454,3952880,87,294562,4767231,50.74,116810,77093,12,24
SRR3989786,3500000,170,73,58,52,44,30,4781835,4759300,4730856,4690513,4543877,4033906,85,294562,4768702,50.73,116810,86788,12,23
SRR3989786,3750000,166,75,60,54,46,31,4781495,4760420,4731976,4691617,4544729,3997395,86,294562,4768929,50.73,116810,76426,12,24
SRR3989786,4000000,162,69,53,47,40,28,4782118,4761891,4734691,4695254,4569337,4134251,79,294562,4769511,50.73,173472,87987,11,21
SRR3989786,4250000,157,69,53,48,41,28,4781823,4763347,4736192,4703587,4581518,4113376,78,294562,4770413,50.72,173472,87987,11,21
SRR3989786,4500000,160,68,52,47,40,28,4782477,4763572,4736417,4703812,4581542,4140574,77,294562,4770638,50.72,173472,87987,11,21
SRR3989786,4750000,156,66,53,48,41,29,4781950,4763333,4740488,4706691,4584421,4142257,75,294562,4770399,50.72,160953,87987,11,22
SRR3989786,5000000,155,66,52,47,40,28,4782343,4763753,4738961,4705034,4582678,4140514,75,294562,4770604,50.72,173483,87987,11,21
SRR3989786,5250000,150,63,49,44,38,27,4782128,4763918,4737977,4704050,4602582,4191189,72,294562,4770984,50.72,173483,103618,11,19
SRR3989786,5500000,152,66,51,46,42,29,4782234,4764120,4736232,4702212,4636453,4158304,75,294562,4771186,50.72,170188,91905,11,21
SRR3989786,5750000,148,65,50,46,42,29,4783270,4765444,4737556,4710185,4644426,4165910,74,302307,4772510,50.72,170188,91905,11,21
SRR3989786,6000000,146,65,50,46,42,29,4783203,4765184,4737268,4709897,4644140,4165624,74,302307,4772250,50.72,170188,91905,11,21
SRR3989786,6250000,146,65,50,46,41,29,4782970,4765250,4737334,4709963,4623318,4175823,74,302307,4772316,50.72,170188,91905,11,21
SRR3989786,6500000,150,66,51,47,42,29,4782473,4764191,4735730,4708359,4621714,4144848,75,302307,4771257,50.72,170188,87987,11,22
SRR3989786,6750000,144,64,50,46,41,29,4782869,4765232,4738659,4711288,4624643,4175788,73,302307,4772298,50.72,170188,91905,11,21
SRR3989786,7000000,142,63,50,46,41,29,4782752,4765223,4741203,4713832,4627187,4175788,72,302307,4772289,50.72,170188,91905,11,21
SRR3989786,7250000,143,63,50,46,41,29,4782861,4765224,4741204,4713833,4627188,4175789,72,302307,4772290,50.72,170188,91905,11,21
SRR3989786,7500000,153,64,51,46,41,29,4782400,4763943,4739977,4705974,4619329,4168044,73,294562,4771009,50.72,170188,91905,11,21
SRR3989786,7750000,149,64,51,47,42,30,4782151,4764111,4740145,4713312,4626665,4188918,73,294562,4771177,50.72,170188,87987,11,22
SRR3989786,7994883,154,64,51,47,42,30,4782774,4764477,4740457,4713624,4626977,4189230,73,294562,4771543,50.72,170188,87987,11,22
SRR3989787,250000,2749,1359,194,23,1,0,4757481,4085689,1408640,290915,28986,0,1914,28986,4493637,51.44,3507,1831,395,843
SRR3989787,500000,780,508,270,164,44,6,5078283,4948106,4383853,3614312,1683688,379070,620,84636,5029545,50.87,17885,8789,84,181
SRR3989787,750000,1121,383,220,155,64,18,5203028,5043436,4651418,4175102,2737813,1173694,473,111639,5106350,50.69,27878,13075,58,125
SRR3989787,1000000,1072,328,189,132,64,24,5225411,5072783,4767417,4355997,3229753,1861219,409,169363,5128470,50.6,34036,16733,42,94
SRR3989787,1250000,955,288,170,126,67,24,5235167,5101817,4827301,4504971,3515637,1942600,355,140142,5148432,50.55,40820,21535,39,82
SRR3989787,1500000,943,261,162,121,69,25,5243262,5110157,4868495,4562074,3752928,2179635,327,140687,5156362,50.52,42827,23201,34,74
SRR3989787,1750000,904,245,151,118,70,25,5250158,5120933,4898551,4649200,3880468,2243402,305,157858,5162058,50.51,44333,26589,33,70
SRR3989787,2000000,869,230,143,118,71,23,5251638,5127030,4919010,4735169,3992758,2260057,289,207422,5168062,50.5,44630,26693,30,67
SRR3989787,2250000,914,226,144,115,70,24,5254875,5122174,4923956,4714996,3995286,2332844,291,201879,5167745,50.5,45330,26693,30,66
SRR3989787,2500000,927,217,141,112,69,27,5257101,5125371,4952788,4740605,4058149,2523506,277,207422,5167128,50.49,49681,29660,29,63
SRR3989787,2750000,894,215,140,114,71,27,5255679,5126313,4954937,4762273,4094497,2469370,277,207362,5169129,50.49,48826,29701,30,64
SRR3989787,3000000,920,212,139,113,71,27,5258395,5124521,4956262,4763781,4115209,2490970,277,207362,5169707,50.49,48826,30925,29,63
SRR3989787,3250000,930,212,136,111,71,28,5259044,5128317,4952645,4766511,4149562,2541964,271,207362,5169913,50.49,49895,31525,29,62
SRR3989787,3500000,904,208,134,109,70,27,5257397,5125645,4956327,4769677,4156861,2536732,271,207362,5170061,50.49,49895,31595,28,61
SRR3989787,3750000,926,208,133,110,70,28,5258702,5126622,4955780,4780368,4169968,2607578,269,207362,5169540,50.49,50016,31522,28,60
SRR3989787,4000000,910,207,131,110,70,27,5258435,5127586,4955069,4794675,4180583,2555439,268,207362,5170573,50.49,49895,31595,28,60
SRR3989787,4250000,950,207,130,110,69,28,5261798,5126851,4948501,4794591,4163315,2619251,271,207362,5170990,50.49,50016,31525,28,60
SRR3989787,4500000,931,204,130,110,69,28,5260325,5124100,4950043,4796110,4169166,2619251,270,207362,5170715,50.48,50016,31525,28,60
SRR3989787,4750000,920,200,128,109,68,30,5260320,5126310,4959872,4816288,4192464,2775624,264,207362,5171497,50.48,55303,31595,27,58
SRR3989787,5000000,885,202,130,109,67,30,5257720,5127053,4960840,4802122,4152408,2775624,266,207362,5172178,50.48,55303,31525,27,58
SRR3989787,5250000,904,205,132,110,67,29,5257955,5127309,4962113,4797075,4136780,2718477,266,207362,5170809,50.49,53160,30976,27,59
SRR3989787,5500000,889,205,131,108,67,30,5257349,5127472,4959525,4785484,4148496,2775624,267,207362,5171606,50.49,55303,31525,27,58
SRR3989787,5750000,879,203,132,109,67,29,5257627,5128810,4966281,4796341,4132705,2718903,263,207362,5171377,50.49,53160,30936,27,59
SRR3989787,6000000,890,203,133,108,67,29,5257006,5128036,4965586,4780300,4132615,2718798,262,207362,5169480,50.48,53160,30976,27,59
SRR3989787,6250000,891,198,130,107,66,29,5258456,5128371,4970420,4800609,4149142,2781247,259,207362,5171404,50.48,63241,31525,26,57
SRR3989787,6500000,880,199,131,106,67,30,5256692,5126551,4968596,4783257,4164698,2791629,262,207362,5170916,50.49,57147,31525,27,58
SRR3989787,6750000,894,202,130,107,67,30,5256835,5127916,4964066,4794194,4169899,2791564,262,207362,5169623,50.48,57147,31595,27,57
SRR3989787,7000000,894,199,129,106,66,30,5257446,5127800,4967378,4797422,4169744,2837896,260,207362,5170231,50.48,63241,31595,26,56
SRR3989787,7250000,879,197,127,107,66,30,5256373,5129835,4972151,4826325,4179452,2838647,256,207362,5171391,50.49,63241,31595,26,56
SRR3989787,7500000,854,197,127,107,66,30,5254885,5129142,4968074,4822238,4179511,2838712,257,207362,5171200,50.48,63241,31595,26,56
SRR3989787,7750000,872,195,126,106,67,30,5256538,5130571,4971203,4825408,4219221,2838712,254,207362,5171808,50.48,63241,32139,26,56
SRR3989787,8000000,855,196,126,106,67,30,5255128,5129384,4968437,4822597,4219289,2838761,255,207362,5171115,50.48,63241,32139,26,56
SRR3989787,8250000,857,197,127,105,67,30,5255028,5130282,4968791,4807840,4219289,2838761,255,207362,5171199,50.48,63241,32139,26,56
SRR3989787,8500000,852,196,127,104,67,30,5255197,5130936,4971313,4802758,4228027,2838761,255,207362,5172261,50.48,63241,32139,26,56
SRR3989787,8750000,869,198,129,105,65,30,5256538,5130249,4970626,4792549,4154343,2838770,258,207362,5172094,50.48,63241,31525,26,56
SRR3989787,9000000,865,197,128,106,65,30,5256036,5130597,4970667,4803544,4153857,2838770,256,207362,5171881,50.48,63241,31525,26,56
SRR3989787,9250000,871,198,129,106,65,30,5256769,5130847,4970656,4795786,4146393,2838770,257,207362,5172131,50.49,63241,31525,26,56
SRR3989787,9500000,867,198,128,107,65,30,5255290,5128003,4966511,4806701,4145892,2838770,258,207362,5170254,50.49,63241,31525,26,56
SRR3989787,9750000,865,200,130,107,65,30,5254960,5128096,4966604,4791689,4135358,2838770,260,207362,5170347,50.49,63241,30936,26,57
SRR3989787,10000000,859,198,128,107,66,30,5254437,5128889,4967397,4809951,4176295,2838741,257,207362,5170263,50.49,63241,31595,26,56
SRR3989787,10250000,877,198,130,107,65,30,5255819,5127074,4967342,4792427,4135337,2838770,258,207362,5169279,50.48,63241,30936,26,57
SRR3989787,10500000,869,197,128,106,64,31,5255385,5127184,4967453,4800606,4143513,2913150,256,207362,5168866,50.48,63775,31525,26,55
SRR3989787,10750000,878,197,129,107,65,30,5255733,5126939,4967208,4800277,4143184,2838770,256,207362,5168600,50.48,63241,31525,26,56
SRR3989787,11000000,866,196,127,105,64,30,5254825,5127394,4966637,4799706,4153292,2869640,255,207362,5168746,50.48,65049,31595,25,55
SRR3989787,11250000,850,196,128,106,65,30,5254132,5126383,4967302,4800403,4153355,2838770,256,207362,5168572,50.48,63241,31525,26,56
SRR3989787,11500000,850,196,128,106,65,30,5254155,5126566,4967344,4800361,4153362,2838770,257,207362,5169263,50.49,63241,31525,26,56
SRR3989787,11750000,844,195,126,106,66,30,5253671,5128023,4967419,4817989,4194344,2838741,255,207362,5169895,50.48,63241,31595,26,56
SRR3989787,12000000,838,195,126,106,66,30,5253312,5128084,4967481,4818051,4194450,2838741,256,207362,5170883,50.49,63241,31595,26,56
SRR3989787,12250000,842,197,128,108,66,29,5253313,5128245,4967339,4817909,4166935,2781480,257,207362,5170342,50.49,63241,30976,26,57
SRR3989787,12500000,836,198,128,108,66,29,5252666,5129463,4967360,4817930,4166922,2781480,257,207362,5170934,50.49,63241,30976,26,57
SRR3989787,12750000,839,198,128,108,66,29,5252887,5129442,4967339,4817909,4166901,2781480,257,207362,5170913,50.49,63241,30976,26,57
SRR3989787,13000000,831,200,128,108,66,29,5252523,5130944,4967339,4817909,4166901,2781480,257,207362,5171072,50.49,63241,30976,26,57
SRR3989787,13156987,832,200,128,108,66,29,5252590,5130830,4967044,4817614,4166943,2781480,257,207362,5170733,50.49,63241,30976,26,57
SRR3989788,250000,2203,1242,245,41,0,0,4674792,4231638,1845324,510702,0,0,1588,20650,4483608,51.44,4178,2332,332,684
SRR3989788,500000,655,434,256,158,57,5,4949721,4843329,4374773,3681629,2100585,356510,527,87841,4910724,50.94,20279,9963,73,159
SRR3989788,750000,602,316,204,139,71,20,5022723,4925209,4656110,4191901,3078904,1316290,387,96295,4975978,50.8,32243,15584,51,104
SRR3989788,1000000,522,260,172,130,61,24,5048641,4959642,4745249,4438243,3270838,1956837,320,199977,5004435,50.73,36842,20748,38,83
SRR3989788,1250000,500,234,157,120,66,28,5068403,4988132,4806407,4524924,3630662,2270865,289,199977,5026231,50.68,42978,22902,34,72
SRR3989788,1500000,439,206,140,109,72,32,5081533,5017633,4858913,4631303,4009005,2596528,241,199977,5041872,50.66,50993,29932,31,64
SRR3989788,1750000,406,177,126,102,71,33,5089325,5029770,4909765,4730686,4197493,2792355,209,199977,5051455,50.65,57154,34245,28,58
SRR3989788,2000000,386,170,115,95,67,35,5096042,5040500,4909983,4757096,4274265,3084314,199,199977,5059620,50.64,62478,35903,26,52
SRR3989788,2250000,389,172,117,98,71,35,5100689,5044507,4912369,4765333,4292617,2985182,203,199977,5064213,50.64,59164,35117,27,55
SRR3989788,2500000,383,164,108,90,68,35,5106227,5050585,4914711,4776534,4382303,3196871,191,258061,5067799,50.62,60615,37703,24,50
SRR3989788,2750000,370,162,106,88,67,34,5107041,5056001,4918485,4780192,4408404,3215623,185,258061,5071464,50.62,63194,37710,22,48
SRR3989788,3000000,357,154,101,86,65,35,5110389,5061473,4926831,4813331,4440632,3364949,177,265943,5076417,50.62,67392,39200,21,46
SRR3989788,3250000,367,159,103,87,65,36,5112583,5062784,4919961,4797522,4411942,3373837,185,199977,5079950,50.62,67197,39200,22,46
SRR3989788,3500000,364,162,104,88,66,36,5115097,5066443,4923199,4804756,4415052,3356255,187,199977,5082979,50.62,67392,37710,22,47
SRR3989788,3750000,348,156,102,86,65,38,5115176,5070106,4929490,4810040,4436254,3475099,180,199977,5085490,50.61,67392,40603,23,46
SRR3989788,4000000,355,157,102,87,65,38,5117361,5068984,4925802,4812560,4422673,3471640,185,199977,5087082,50.61,67392,39200,23,46
SRR3989788,4250000,354,155,100,85,65,38,5117492,5069108,4924133,4810556,4458018,3503177,183,199977,5087351,50.61,69447,39200,22,46
SRR3989788,4500000,350,153,100,85,65,39,5118042,5069181,4931602,4818972,4466445,3545092,182,199977,5087982,50.61,67392,40603,23,46
SRR3989788,4750000,352,155,99,84,64,38,5117800,5070686,4928722,4816092,4463440,3542087,181,199977,5087842,50.61,68953,40603,22,45
SRR3989788,5000000,353,157,99,84,64,38,5119232,5071808,4922877,4809300,4456477,3536009,183,199977,5089135,50.61,68953,40603,22,45
SRR3989788,5250000,360,159,102,87,66,38,5121881,5076342,4931739,4819229,4453552,3453864,182,199977,5091490,50.6,67198,39200,23,47
SRR3989788,5500000,351,156,101,85,64,38,5121329,5075709,4937798,4817937,4452152,3531613,181,199977,5091965,50.61,67392,40603,22,45
SRR3989788,5750000,358,156,102,86,64,37,5122891,5075404,4937256,4817395,4437987,3471094,182,199977,5092385,50.61,67392,40603,22,45
SRR3989788,6000000,344,155,100,85,64,38,5123407,5077676,4935146,4822636,4456051,3535309,180,199977,5094538,50.61,69447,40603,22,45
SRR3989788,6250000,344,153,101,84,63,37,5123083,5078623,4942052,4814316,4447731,3526989,176,199977,5093849,50.61,71900,40603,21,44
SRR3989788,6500000,343,152,100,83,63,37,5122911,5078529,4943243,4815411,4460682,3539618,175,199977,5093742,50.6,71900,40603,21,44
SRR3989788,6750000,345,153,100,83,62,37,5123531,5078872,4942077,4814245,4447449,3568319,177,199977,5094713,50.6,71900,40603,21,43
SRR3989788,7000000,359,156,101,85,62,36,5125709,5078154,4935106,4812557,4414100,3497574,182,199977,5095243,50.6,71900,39155,21,44
SRR3989788,7250000,360,156,102,86,63,36,5125943,5078201,4936637,4814088,4414155,3464502,182,199977,5095290,50.6,71900,37710,21,45
SRR3989788,7500000,354,153,102,86,64,36,5126407,5078715,4945306,4824303,4445468,3459893,179,199977,5095866,50.6,71900,39155,21,45
SRR3989788,7750000,351,153,102,86,64,36,5126269,5078958,4946775,4825773,4446938,3459893,179,199977,5096109,50.6,71900,39155,21,45
SRR3989788,8000000,350,153,103,86,64,36,5126616,5078736,4948891,4820895,4446699,3459634,180,199977,5096884,50.6,71900,39155,21,45
SRR3989788,8250000,349,153,103,86,64,36,5126618,5078736,4948891,4820895,4446699,3459634,180,199977,5097143,50.6,71900,39155,21,45
SRR3989788,8500000,348,153,102,86,64,36,5126591,5078969,4945485,4824483,4450158,3459893,181,199977,5097638,50.6,71900,39200,21,45
SRR3989788,8526715,347,153,102,86,64,36,5126509,5078969,4945485,4824483,4450158,3459893,181,199977,5097638,50.6,71900,39200,21,45
SRR3989789,250000,2594,1268,208,31,1,0,4691719,4077729,1621753,441737,34394,0,1737,34394,4414789,51.41,3831,2035,342,741
SRR3989789,500000,846,534,263,150,47,9,5045225,4898472,4245446,3446971,1860583,549695,663,84667,4989922,50.9,17493,7854,78,185
SRR3989789,750000,882,431,221,147,60,15,5165678,5010567,4528793,3985011,2640838,1019674,537,115179,5085023,50.71,26153,11490,57,132
SRR3989789,1000000,964,382,205,144,62,17,5209527,5050388,4617598,4170934,2864813,1263805,474,117543,5117094,50.61,29214,13296,51,116
SRR3989789,1250000,739,333,190,137,65,22,5206112,5081628,4739311,4346946,3208889,1667451,411,117543,5136416,50.56,34852,15438,44,99
SRR3989789,1500000,720,319,178,132,67,22,5218778,5102198,4752570,4414851,3350752,1721151,392,121200,5152993,50.53,37436,16987,42,93
SRR3989789,1750000,686,288,172,133,68,24,5227631,5114617,4832865,4547028,3493775,1910197,356,143011,5163765,50.5,40178,18658,40,86
SRR3989789,2000000,658,281,165,132,66,23,5229002,5122265,4833392,4586533,3473229,1939931,344,208562,5166884,50.48,40481,19731,38,85
SRR3989789,2250000,665,272,163,129,69,22,5233573,5126454,4860340,4612577,3620883,1961945,334,208562,5170432,50.47,40481,20120,37,81
SRR3989789,2500000,642,268,155,124,70,24,5233992,5131499,4854681,4630920,3733293,2132087,329,208566,5174595,50.46,41279,21710,35,77
SRR3989789,2750000,648,262,151,122,69,22,5237167,5135407,4864184,4655260,3781104,2138645,315,208566,5172731,50.46,41279,22240,33,74
SRR3989789,3000000,628,259,152,124,69,23,5236852,5135862,4879185,4678377,3778917,2143579,316,208562,5176616,50.46,41683,23567,34,74
SRR3989789,3250000,623,256,149,121,69,23,5236863,5137106,4879886,4678758,3820732,2182860,310,208566,5176048,50.46,41778,24155,33,72
SRR3989789,3500000,643,249,146,123,69,24,5239767,5136496,4898887,4736715,3849779,2255685,302,208562,5174605,50.46,42702,24382,32,71
SRR3989789,3750000,642,249,146,121,70,26,5239242,5137462,4897210,4719474,3879975,2329835,302,208562,5175444,50.45,43867,24764,32,71
SRR3989789,4000000,658,247,146,122,71,25,5241934,5137068,4904428,4732483,3905640,2283995,302,208562,5176632,50.45,43303,25040,32,71
SRR3989789,4250000,642,246,146,117,68,24,5239990,5139272,4903230,4701073,3906343,2357804,298,270938,5176271,50.45,43867,25040,30,68
SRR3989789,4500000,652,249,147,119,70,24,5242025,5137402,4900242,4704011,3905337,2284079,303,270938,5176374,50.45,43303,25040,31,70
SRR3989789,4750000,642,245,147,119,69,23,5240319,5138780,4913687,4717515,3904923,2283657,296,270938,5175240,50.45,43303,25040,30,69
SRR3989789,5000000,638,248,147,120,70,24,5240467,5139784,4906827,4718291,3905585,2284308,301,270938,5177284,50.45,43303,25040,31,70
SRR3989789,5250000,630,245,146,119,69,25,5240040,5140413,4913500,4722781,3910144,2358457,296,270938,5176984,50.45,43867,25361,31,68
SRR3989789,5500000,630,250,145,117,68,24,5240754,5143538,4900126,4704650,3909694,2358032,300,270938,5179223,50.45,43867,25583,30,67
SRR3989789,5750000,637,248,145,117,68,24,5241092,5142027,4903141,4707664,3909667,2358125,299,270938,5178702,50.45,43867,25583,30,67
SRR3989789,6000000,654,248,145,117,69,25,5242841,5140749,4901218,4706180,3922278,2357048,302,208562,5179642,50.45,43303,25583,31,68
SRR3989789,6250000,638,248,144,116,69,24,5241908,5142706,4902128,4707090,3944491,2357453,300,270938,5179553,50.45,43303,25635,30,67
SRR3989789,6500000,634,248,144,116,69,24,5240894,5141377,4901558,4706520,3943904,2357450,300,270938,5178389,50.45,43303,25635,30,67
